,Precio,Título,Combustible,Año,kilometraje,Cambio,Potencia,B
1,11999,Renault Talisman 2017,Diésel,2017,158000,Manual,110,Diésel
3,6999,Renault Megane 2012,Gasolina,2012,166000,Manual,115,Gasolina
4,4500,Renault Megane 2010,Diésel,2010,212580,Manual,110,Diésel
5,4999,Renault Laguna 4 CONTROL,Diésel,2013,316000,Automático,175,Diésel
6,5800,Renault Kangoo 2017,Diésel,2017,233000,Manual,75,Diésel
7,5999,Renault Grand Scenic 2014,Diésel,2014,250000,Manual,110,Diésel
8,9900,Renault Megane 2019,Diésel,2019,115000,Manual,115,Diésel
9,22000,Renault Trafic 2022,Diésel,2022,35000,Manual,110,Diésel
10,3500,Renault Megane 2004,Diésel,2004,152000,Manual,80,Diésel
11,8300,Renault Kangoo 2019,Diésel,2019,114031,Manual,90,Diésel
12,2400,Renault Clio 2008,Diésel,2008,264000,Manual,105,Diésel
13,12900,Renault Megane 2018,Diésel,2018,139000,Manual,90,Diésel
14,10900,Renault Talisman 2016,Diésel,2016,193000,Manual,110,Diésel
15,14490,Renault Captur TCe Zen 66kW 90CV,Gasolina,2019,80015,Manual,90,Gasolina
16,12600,Renault Captur 2019,,2019,99500,Manual,90,
17,13790,RENAULT ESPACE ZEN ENERGY DCI 130,Diésel,2016,165142,Manual,130,Diésel
20,1995,Renault Laguna 2003,Diésel,2003,240000,Manual,120,Diésel
21,13990,Renault Kangoo PROFESIONAL 80CV,Diésel,2021,93000,Manual,80,Diésel
22,13990,Renault Kangoo PROFESIONAL 80CV,Diésel,2021,84000,Manual,80,Diésel
23,13990,Renault Kangoo PROFESIONAL 80CV,Diésel,2021,72000,Manual,80,Diésel
24,3500,Renault Megane 2009,Gasolina,2009,256000,Manual,110,Gasolina
25,21400,Renault Captur 1.3 96 kW TCE Zen + Aut.,Gasolina,2020,16302,Automático,131,Gasolina
26,15900,Renault ZOE - ELECTRICO - GARANTIA - FINANCIAMOS,Eléctrico,2018,16165,Automático,92,Eléctrico
27,10990,RENAULT Clio RENAULT Clio TCe Energy GLP Business 66kW,Otros,2019,64000,,90,Otros
28,11900,RENAULT Clio RENAULT Clio TCe GPF Energy Zen 66kW,Gasolina,2019,60000,,90,Gasolina
29,11400,RENAULT Clio RENAULT Clio Sce Life 49kW,Gasolina,2021,49461,,67,Gasolina
30,15900,Renault ZOE - ELECTRICO - GARANTIA - FINANCIAMOS,,2018,16165,Automático,92,Eléctrico
31,18900,RENAULT Kadjar RENAULT Kadjar 1.3 TCe GPF Black Edition EDC 117kW,Gasolina,2019,77050,,159,Gasolina
32,10600,Renault CLIO DIESEL - GARANTIA - FINANCIAMOS,Diésel,2019,87789,Manual,75,Diésel
33,15900,Renault ZOE 2018,,2018,19729,Automático,92,Eléctrico
34,24400,RENAULT Arkana RENAULT Arkana 1.3 TCe Zen EDC 103kW,Gasolina,2022,70000,,140,Gasolina
35,11900,RENAULT Captur RENAULT Captur TCe eco2 Energy Zen 90,Gasolina,2016,72135,,90,Gasolina
36,16400,Renault Talisman -GARANTIA-REVISADO-FINANCIAMOS,Diésel,2020,82252,Manual,120,Diésel
37,16400,Renault Talisman 2020,Diésel,2020,82252,Manual,120,Diésel
38,2840,Renault Megane 2011,Gasolina,2011,272257,Manual,100,Gasolina
39,1990,Renault Laguna 2002,Gasolina,2002,119713,Manual,140,Gasolina
40,15490,Renault Express L1 Confort 75CV,Diésel,2022,57000,Manual,75,Diésel
42,2990,Renault Clio 2006,Gasolina,2006,90595,Automático,110,Gasolina
44,30000,RENAULT Zoe RENAULT Zoe Intens 50 R135 100kW,Eléctrico,2023,3000,,135,Eléctrico
45,2590,Renault Laguna 2005,Gasolina,2005,173702,Manual,135,Gasolina
46,1990,Renault Megane 2010,Gasolina,2010,174206,Manual,130,Gasolina
47,2490,Renault Scenic 2005,Diésel,2005,249017,Manual,120,Diésel
48,14900,RENAULT Mégane RENAULT Mégane 1.2 TCe Energy Tech Road 97kW,Gasolina,2018,120000,,132,Gasolina
49,2590,Renault Clio 2005,Diésel,2005,213329,Manual,85,Diésel
50,27900,RENAULT Arkana Híbrido RENAULT Arkana 1.6 E-Tech R.S.Line Fast Track 105kW,Gasolina,2022,44200,,145,Hybrid
51,17900,RENAULT Kadjar RENAULT Kadjar 1.3 TCe GPF Zen 103kW,Gasolina,2019,80000,,140,Gasolina
52,19900,RENAULT Clio Híbrido RENAULT Clio E-TECH Híbrido Techno 103kW,Gasolina,2022,26320,,140,Hybrid
53,16900,RENAULT Kadjar RENAULT Kadjar 1.3 TCe GPF Zen 103kW,Gasolina,2021,77841,,140,Gasolina
55,23700,RENAULT Captur Híbrido RENAULT Captur E-TECH Híbrido Techno Fast Track 105kW,Gasolina,2022,21100,,145,Hybrid
56,12500,RENAULT Kadjar Diesel RENAULT Kadjar 1.5dCi Energy Intens EDC 81kW,Diésel,2016,117000,,110,Diésel
57,19042,RENAULT Captur RENAULT Captur TCe GPF Micro Híbrido Zen EDC 103kW,Gasolina,2021,55161,,140,Hybrid
58,11600,Renault CLIO DIESEL - GARANTIA - FINANCIAMOS,Diésel,2020,72290,Manual,86,Diésel
59,15500,RENAULT Kadjar RENAULT Kadjar 1.2 TCe Energy Limited EDC 97kW,Gasolina,2018,101439,,130,Gasolina
60,19800,RENAULT Kadjar RENAULT Kadjar 1.3 TCe GPF Zen EDC 103kW,Gasolina,2021,40000,,140,Gasolina
61,12900,RENAULT Kadjar Diesel RENAULT Kadjar 1.5dCi Energy Zen EDC 81kW,Diésel,2016,109084,,110,Diésel
